cell,clone
0,4
1,2
2,2
3,6
4,0
5,1
6,5
7,2
8,5
9,0
10,4
11,4
12,6
13,4
14,4
15,6
16,4
17,6
18,5
19,2
20,0
21,4
22,6
23,6
24,6
25,6
26,4
27,3
28,2
29,6
30,2
31,2
32,2
33,2
34,7
35,2
36,2
37,3
38,3
39,1
40,2
41,4
42,1
43,2
44,6
45,3
46,4
47,4
48,2
49,4
50,0
51,3
52,3
53,5
54,1
55,1
56,4
57,2
58,4
59,4
60,2
61,0
62,6
63,7
64,2
65,1
66,4
67,7
68,2
69,4
70,7
71,2
72,2
73,4
74,2
75,0
76,4
77,4
78,4
79,7
80,4
81,7
82,6
83,4
84,2
85,2
86,5
87,0
88,1
89,2
90,0
91,1
92,3
93,5
94,2
95,4
96,4
97,2
98,5
99,5
100,4
101,4
102,2
103,3
104,4
105,1
106,2
107,5
108,4
109,4
110,3
111,5
112,6
113,5
114,4
115,4
116,3
117,7
118,4
119,0
120,3
121,2
122,1
123,1
124,0
125,0
126,2
127,1
128,3
129,6
130,1
131,6
132,2
133,2
134,0
135,4
136,1
137,0
138,4
139,2
140,2
141,1
142,2
143,0
144,0
145,4
146,6
147,4
148,7
149,4
150,4
151,1
152,2
153,4
154,4
155,3
156,2
157,2
158,1
159,4
160,4
161,0
162,2
163,7
164,2
165,2
166,2
167,7
168,4
169,2
170,7
171,5
172,2
173,4
174,6
175,2
176,5
177,2
178,3
179,2
180,4
181,4
182,2
183,2
184,4
185,2
186,1
187,4
188,0
189,4
190,4
191,4
192,6
193,2
194,4
195,4
196,4
197,6
198,2
199,1
200,3
201,1
202,2
203,7
204,5
205,4
206,2
207,2
208,2
209,0
210,1
211,5
212,2
213,2
214,4
215,3
216,2
217,6
218,2
219,4
220,2
221,2
222,0
223,4
224,7
225,0
226,4
227,6
228,2
229,5
230,0
231,2
232,3
233,4
234,2
235,0
236,4
237,2
238,3
239,3
240,4
241,1
242,6
243,2
244,0
245,1
246,4
247,6
248,2
249,5
250,6
251,2
252,4
253,2
254,5
255,6
256,3
257,7
258,2
259,4
260,6
261,1
262,2
263,4
264,4
265,6
266,2
267,6
268,2
269,3
270,2
271,1
272,2
273,2
274,1
275,2
276,7
277,2
278,4
279,1
280,6
281,4
282,4
283,2
284,4
285,5
286,2
287,2
288,4
289,4
290,1
291,2
292,3
293,7
294,0
295,1
296,6
297,4
298,7
299,4
300,4
301,0
302,5
303,5
304,6
305,2
306,2
307,1
308,2
309,2
310,6
311,1
312,3
313,4
314,2
315,5
316,4
317,4
318,1
319,3
320,3
321,7
322,2
323,4
324,5
325,5
326,3
327,5
328,0
329,6
330,4
331,4
332,0
333,4
334,2
335,6
336,7
337,6
338,4
339,5
340,3
341,3
342,6
343,1
344,6
345,5
346,4
347,1
348,4
349,4
350,2
351,2
352,6
353,4
354,1
355,4
356,2
357,2
358,4
359,4
360,7
361,2
362,0
363,2
364,0
365,7
366,4
367,5
368,7
369,7
370,1
371,4
372,7
373,4
374,4
375,3
376,0
377,0
378,0
379,3
380,0
381,3
382,3
383,4
384,4
385,2
386,2
387,5
388,4
389,4
390,3
391,0
392,2
393,0
394,4
395,4
396,2
397,4
398,1
399,0
400,4
401,6
402,2
403,1
404,3
405,0
406,3
407,4
408,1
409,1
410,7
411,2
412,3
413,2
414,2
415,4
416,1
417,4
418,2
419,2
420,2
421,2
422,2
423,5
424,2
425,7
426,7
427,7
428,4
429,2
430,4
431,4
432,4
433,3
434,1
435,2
436,3
437,2
438,2
439,4
440,5
441,1
442,3
443,6
444,5
445,4
446,1
447,4
448,7
449,0
450,2
451,4
452,4
453,7
454,4
455,4
456,4
457,2
458,5
459,5
460,2
461,7
462,0
463,2
464,2
465,3
466,2
467,6
468,6
469,0
470,0
471,7
472,0
473,4
474,1
475,4
476,2
477,6
478,2
479,2
480,1
481,6
482,2
483,7
484,1
485,1
486,3
487,4
488,5
489,5
490,1
491,1
492,2
493,4
494,2
495,5
496,4
497,2
498,2
499,2
500,2
501,2
502,4
503,3
504,2
505,6
506,5
507,4
508,2
509,5
510,2
511,5
512,4
513,1
514,2
515,6
516,4
517,1
518,6
519,4
520,7
521,2
522,0
523,2
524,4
525,3
526,3
527,6
528,1
529,4
530,2
531,4
532,2
533,0
534,2
535,4
536,3
537,2
538,6
539,6
540,2
541,5
542,2
543,5
544,2
545,2
546,6
547,6
548,2
549,4
550,2
551,1
552,0
553,6
554,6
555,2
556,3
557,1
558,2
559,5
560,2
561,2
562,3
563,2
564,2
565,7
566,4
567,0
568,2
569,2
570,3
571,5
572,6
573,1
574,2
575,4
576,7
577,7
578,2
579,0
580,1
581,1
582,2
583,6
584,2
585,3
586,4
587,0
588,2
589,4
590,2
591,3
592,5
593,0
594,4
595,2
596,1
597,2
598,3
599,7
600,1
601,2
602,1
603,1
604,2
605,1
606,6
607,2
608,2
609,0
610,7
611,6
612,7
613,0
614,0
615,0
616,4
617,6
618,3
619,5
620,2
621,0
622,4
623,5
624,1
625,2
626,7
627,6
628,5
629,0
630,1
631,3
632,3
633,2
634,2
635,0
636,6
637,6
638,4
639,2
640,4
641,4
642,4
643,3
644,3
645,3
646,3
647,3
648,0
649,2
650,2
651,4
652,4
653,3
654,2
655,6
656,4
657,2
658,6
659,7
660,4
661,6
662,7
663,3
664,4
665,1
666,3
667,3
668,0
669,3
670,1
671,0
672,5
673,3
674,7
675,2
676,1
677,2
678,4
679,4
680,1
681,2
682,5
683,2
684,0
685,4
686,1
687,3
688,2
689,2
690,1
691,0
692,4
693,4
694,4
695,3
696,6
