segment,cell,copiesX,copiesY
0,0,3,0
1,0,1,1
2,0,2,1
3,0,1,0
4,0,1,1
5,0,1,1
6,0,1,1
7,0,1,2
8,0,2,3
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,3
13,0,1,1
14,0,1,3
0,1,3,0
1,1,1,1
2,1,3,3
3,1,1,2
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,2
8,1,1,2
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,3
13,1,1,1
14,1,1,3
0,2,3,0
1,2,1,1
2,2,1,1
3,2,1,2
4,2,1,1
5,2,1,1
6,2,1,1
7,2,3,0
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,3,3
13,2,3,2
14,2,1,1
0,3,3,0
1,3,1,1
2,3,2,1
3,3,1,0
4,3,1,1
5,3,1,1
6,3,1,1
7,3,1,2
8,3,2,3
9,3,1,1
10,3,1,1
11,3,1,1
12,3,1,3
13,3,1,1
14,3,1,3
0,4,3,0
1,4,1,1
2,4,1,1
3,4,1,2
4,4,1,1
5,4,1,1
6,4,1,1
7,4,3,0
8,4,1,1
9,4,1,1
10,4,1,1
11,4,1,1
12,4,3,3
13,4,3,2
14,4,1,1
0,5,3,0
1,5,1,1
2,5,3,3
3,5,1,2
4,5,1,1
5,5,1,1
6,5,1,1
7,5,1,2
8,5,1,2
9,5,1,1
10,5,1,1
11,5,1,1
12,5,1,3
13,5,1,1
14,5,1,3
0,6,3,0
1,6,1,1
2,6,1,1
3,6,1,2
4,6,1,1
5,6,1,1
6,6,1,1
7,6,1,1
8,6,1,1
9,6,1,1
10,6,1,1
11,6,1,1
12,6,2,1
13,6,3,2
14,6,1,1
0,7,1,1
1,7,1,1
2,7,1,1
3,7,1,1
4,7,1,1
5,7,1,1
6,7,1,1
7,7,1,1
8,7,1,1
9,7,1,1
10,7,1,1
11,7,1,1
12,7,1,1
13,7,1,1
14,7,1,1
0,8,3,0
1,8,1,1
2,8,2,1
3,8,1,2
4,8,1,1
5,8,1,1
6,8,1,1
7,8,1,2
8,8,2,3
9,8,1,1
10,8,1,1
11,8,1,1
12,8,1,3
13,8,1,1
14,8,1,3
0,9,3,0
1,9,1,1
2,9,3,3
3,9,1,2
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,2
8,9,1,2
9,9,1,1
10,9,1,1
11,9,1,1
12,9,1,3
13,9,1,1
14,9,1,3
0,10,3,0
1,10,1,1
2,10,1,1
3,10,1,2
4,10,1,1
5,10,1,1
6,10,1,1
7,10,3,0
8,10,1,1
9,10,1,1
10,10,1,1
11,10,1,1
12,10,3,3
13,10,3,2
14,10,1,1
0,11,3,0
1,11,1,1
2,11,1,1
3,11,1,2
4,11,1,1
5,11,1,1
6,11,1,1
7,11,3,0
8,11,1,1
9,11,1,1
10,11,1,1
11,11,1,1
12,11,3,3
13,11,3,2
14,11,1,1
0,12,3,0
1,12,1,1
2,12,3,3
3,12,1,2
4,12,1,3
5,12,1,2
6,12,1,1
7,12,1,2
8,12,1,1
9,12,1,1
10,12,1,1
11,12,1,1
12,12,1,3
13,12,1,1
14,12,1,3
0,13,1,1
1,13,1,1
2,13,1,1
3,13,1,1
4,13,1,1
5,13,1,1
6,13,1,1
7,13,1,1
8,13,1,1
9,13,1,1
10,13,1,1
11,13,1,1
12,13,1,1
13,13,1,1
14,13,1,1
0,14,3,0
1,14,1,1
2,14,2,1
3,14,1,0
4,14,1,1
5,14,1,1
6,14,1,1
7,14,1,2
8,14,2,3
9,14,1,1
10,14,1,1
11,14,1,1
12,14,1,3
13,14,1,1
14,14,1,3
0,15,3,0
1,15,1,1
2,15,3,3
3,15,1,2
4,15,1,3
5,15,1,2
6,15,1,1
7,15,1,2
8,15,1,1
9,15,1,1
10,15,1,1
11,15,1,1
12,15,1,3
13,15,1,1
14,15,1,3
0,16,3,0
1,16,1,1
2,16,1,1
3,16,1,2
4,16,1,1
5,16,1,1
6,16,1,1
7,16,3,0
8,16,1,1
9,16,1,1
10,16,1,1
11,16,1,1
12,16,3,3
13,16,3,2
14,16,1,1
0,17,3,0
1,17,1,1
2,17,3,3
3,17,1,2
4,17,1,3
5,17,1,2
6,17,1,1
7,17,1,2
8,17,1,1
9,17,1,1
10,17,1,1
11,17,1,1
12,17,1,3
13,17,1,1
14,17,1,3
0,18,3,0
1,18,1,1
2,18,2,1
3,18,1,2
4,18,1,1
5,18,1,1
6,18,1,1
7,18,1,2
8,18,2,3
9,18,1,1
10,18,1,1
11,18,1,1
12,18,1,3
13,18,1,1
14,18,1,3
0,19,1,1
1,19,1,1
2,19,1,1
3,19,1,1
4,19,1,1
5,19,1,1
6,19,1,1
7,19,1,1
8,19,1,1
9,19,1,1
10,19,1,1
11,19,1,1
12,19,1,1
13,19,1,1
14,19,1,1
0,20,3,0
1,20,1,1
2,20,1,1
3,20,1,2
4,20,1,1
5,20,1,1
6,20,1,1
7,20,3,0
8,20,1,1
9,20,1,1
10,20,1,1
11,20,1,1
12,20,3,3
13,20,3,2
14,20,1,1
0,21,3,0
1,21,1,1
2,21,2,1
3,21,1,0
4,21,1,1
5,21,1,1
6,21,1,1
7,21,1,2
8,21,2,3
9,21,1,1
10,21,1,1
11,21,1,1
12,21,1,3
13,21,1,1
14,21,1,3
0,22,3,0
1,22,1,1
2,22,3,3
3,22,1,2
4,22,1,1
5,22,1,1
6,22,1,1
7,22,1,2
8,22,1,2
9,22,1,1
10,22,1,1
11,22,1,1
12,22,1,3
13,22,1,1
14,22,1,3
0,23,1,1
1,23,1,1
2,23,1,1
3,23,1,1
4,23,1,1
5,23,1,1
6,23,1,1
7,23,1,1
8,23,1,1
9,23,1,1
10,23,1,1
11,23,1,1
12,23,1,1
13,23,1,1
14,23,1,1
0,24,3,0
1,24,1,1
2,24,2,1
3,24,1,2
4,24,1,1
5,24,1,1
6,24,1,1
7,24,1,2
8,24,2,3
9,24,1,1
10,24,1,1
11,24,1,1
12,24,1,3
13,24,1,1
14,24,1,3
0,25,3,0
1,25,1,1
2,25,2,1
3,25,1,2
4,25,1,1
5,25,1,1
6,25,1,1
7,25,1,2
8,25,2,3
9,25,1,1
10,25,1,1
11,25,1,1
12,25,1,3
