mutation,cluster
40,1
69,1
112,1
127,1
149,1
262,1
405,1
465,1
501,1
581,1
586,1
645,1
704,1
1251,1
1490,1
1761,1
1763,1
1850,1
2053,1
2457,1
2468,1
2517,1
2528,1
2585,1
2654,1
2656,1
2739,1
3217,1
3269,1
3282,1
3383,1
3481,1
3536,1
3637,1
3695,1
3711,1
3901,1
3906,1
3912,1
3981,1
4034,1
4042,1
4044,1
4358,1
4454,1
4469,1
4746,1
4890,1
4926,1
12,1
21,1
81,1
172,1
273,1
327,1
489,1
577,1
584,1
628,1
707,1
711,1
753,1
777,1
798,1
871,1
898,1
915,1
918,1
920,1
997,1
1050,1
1057,1
1088,1
1095,1
1335,1
1429,1
1442,1
1502,1
1528,1
1569,1
1635,1
1637,1
1680,1
1715,1
1833,1
1897,1
1971,1
2004,1
2045,1
2159,1
2173,1
2217,1
2344,1
2357,1
2365,1
2391,1
2393,1
2399,1
2408,1
2458,1
2477,1
2521,1
2556,1
2670,1
2694,1
2747,1
2753,1
2786,1
2817,1
2831,1
2947,1
3028,1
3163,1
3211,1
3247,1
3349,1
3375,1
3379,1
3473,1
3474,1
3524,1
3690,1
3712,1
3739,1
3777,1
3788,1
3790,1
3830,1
3837,1
3851,1
3866,1
3869,1
3958,1
3990,1
4032,1
4063,1
4077,1
4096,1
4111,1
4132,1
4180,1
4182,1
4202,1
4227,1
4280,1
4303,1
4347,1
4349,1
4367,1
4522,1
4537,1
4584,1
4639,1
4663,1
4672,1
4678,1
4726,1
4895,1
4936,1
4945,1
63,1
222,1
226,1
266,1
281,1
421,1
512,1
627,1
679,1
844,1
966,1
1094,1
1151,1
1279,1
1384,1
1427,1
1451,1
1482,1
1522,1
1727,1
1845,1
1927,1
1941,1
1953,1
2033,1
2057,1
2100,1
2250,1
2282,1
2405,1
2418,1
2582,1
2604,1
2689,1
2891,1
2905,1
2926,1
2970,1
2981,1
2987,1
3116,1
3243,1
3265,1
3267,1
3330,1
3337,1
3426,1
3438,1
3597,1
3661,1
3663,1
3812,1
3903,1
3934,1
3986,1
4159,1
4270,1
4318,1
4322,1
4326,1
4353,1
4404,1
4460,1
4502,1
4513,1
4590,1
4741,1
4742,1
4766,1
4781,1
4789,1
4833,1
4898,1
4942,1
103,1
161,1
178,1
184,1
185,1
198,1
204,1
220,1
230,1
248,1
372,1
470,1
604,1
863,1
1012,1
1179,1
1243,1
1252,1
1294,1
1297,1
1415,1
1455,1
1457,1
1656,1
1785,1
1844,1
1866,1
1872,1
1979,1
2066,1
2083,1
2164,1
2244,1
2295,1
2331,1
2677,1
2856,1
2885,1
3161,1
3176,1
3291,1
3411,1
3449,1
3469,1
3506,1
3687,1
3771,1
3789,1
3800,1
3802,1
3933,1
3955,1
3960,1
4050,1
4168,1
4244,1
4475,1
4577,1
4611,1
4616,1
4644,1
4650,1
4691,1
4751,1
4796,1
4849,1
4959,1
4960,1
64,1
84,1
214,1
216,1
272,1
304,1
371,1
397,1
414,1
417,1
442,1
451,1
559,1
656,1
1039,1
1123,1
1133,1
1142,1
1169,1
1201,1
1239,1
1244,1
1333,1
1390,1
1435,1
1548,1
1583,1
1675,1
1684,1
1732,1
1863,1
1994,1
2047,1
2087,1
2188,1
2361,1
2445,1
2570,1
2643,1
2745,1
3052,1
3185,1
3208,1
3346,1
3516,1
3636,1
3942,1
3964,1
4138,1
4346,1
4378,1
4514,1
4666,1
4767,1
4928,1
4968,1
78,1
205,1
290,1
374,1
466,1
525,1
528,1
641,1
806,1
884,1
925,1
937,1
944,1
990,1
1130,1
1199,1
1242,1
1500,1
1594,1
1601,1
1619,1
1620,1
1725,1
1832,1
1849,1
1852,1
1880,1
2040,1
2075,1
2111,1
2213,1
2280,1
2353,1
2378,1
2409,1
2470,1
2506,1
2695,1
