mutation,cluster
146,2
331,2
333,2
547,2
789,2
873,2
1109,2
1112,2
1119,2
1249,2
1266,2
1465,2
1517,2
1525,2
1634,2
1699,2
1831,2
1834,2
1842,2
1856,2
1890,2
2019,2
2197,2
2213,2
2333,2
2368,2
2485,2
2613,2
2723,2
2730,2
2748,2
2750,2
2913,2
3282,2
3367,2
3530,2
3601,2
3647,2
3701,2
3705,2
3781,2
3994,2
4087,2
4153,2
4329,2
4346,2
4366,2
4459,2
4745,2
4795,2
4953,2
5047,2
5083,2
5172,2
5224,2
5277,2
5317,2
5516,2
5522,2
5543,2
5581,2
5740,2
6123,2
6238,2
6341,2
6428,2
6717,2
6747,2
6759,2
6810,2
6872,2
7206,2
7230,2
7232,2
7496,2
7578,2
7650,2
7734,2
8095,2
8176,2
8246,2
8372,2
8417,2
8435,2
8519,2
8652,2
8744,2
8783,2
8798,2
8831,2
8862,2
9099,2
9121,2
9175,2
9247,2
9309,2
9529,2
9535,2
41,2
53,2
80,2
131,2
157,2
257,2
334,2
342,2
689,2
690,2
712,2
832,2
840,2
843,2
854,2
879,2
888,2
902,2
986,2
1023,2
1061,2
1096,2
1118,2
1135,2
1180,2
1195,2
1213,2
1215,2
1386,2
1393,2
1434,2
1453,2
1729,2
1731,2
1809,2
1874,2
1945,2
1968,2
2083,2
2113,2
2241,2
2277,2
2299,2
2357,2
2438,2
2454,2
2466,2
2614,2
2741,2
2781,2
2784,2
2816,2
2883,2
2903,2
2990,2
2994,2
3093,2
3118,2
3159,2
3162,2
3212,2
3237,2
3269,2
3277,2
3312,2
3377,2
3398,2
3449,2
3465,2
3497,2
3571,2
3714,2
3724,2
3739,2
3740,2
3753,2
3813,2
3896,2
3912,2
3992,2
4018,2
4074,2
4075,2
4161,2
4442,2
4444,2
4508,2
4554,2
4597,2
4643,2
4726,2
4759,2
4835,2
4872,2
4936,2
5002,2
5015,2
5031,2
5034,2
5088,2
5104,2
5152,2
5188,2
5301,2
5322,2
5479,2
5557,2
5685,2
5775,2
5817,2
5832,2
5886,2
5888,2
5924,2
6017,2
6032,2
6033,2
6048,2
6224,2
6352,2
6368,2
6410,2
6491,2
6610,2
6616,2
6693,2
6900,2
6993,2
7077,2
7083,2
7161,2
7265,2
7370,2
7393,2
7427,2
7468,2
7512,2
7523,2
7528,2
7696,2
7727,2
7853,2
8065,2
8227,2
8256,2
8504,2
8509,2
8520,2
8541,2
8546,2
8665,2
8671,2
8723,2
8757,2
8761,2
8774,2
8805,2
8843,2
8974,2
9036,2
9100,2
9116,2
9183,2
9467,2
9480,2
9494,2
9501,2
9503,2
9561,2
9641,2
9669,2
9713,2
9820,2
9847,2
9916,2
60,2
202,2
243,2
249,2
250,2
262,2
310,2
332,2
377,2
448,2
471,2
483,2
620,2
889,2
895,2
997,2
1001,2
1193,2
1278,2
1381,2
1424,2
1597,2
1614,2
1629,2
1646,2
1677,2
1744,2
1904,2
1957,2
2036,2
2192,2
2318,2
2355,2
2522,2
2523,2
2620,2
2720,2
2799,2
2823,2
2845,2
2897,2
2953,2
2995,2
3202,2
3238,2
3327,2
3329,2
3655,2
3773,2
3825,2
4012,2
4247,2
4445,2
4486,2
4520,2
4604,2
4658,2
4720,2
4793,2
4821,2
4866,2
4963,2
4984,2
5225,2
5232,2
5611,2
5620,2
5686,2
5708,2
6102,2
6153,2
6156,2
6280,2
6620,2
6709,2
6842,2
6895,2
7067,2
7118,2
7181,2
7184,2
7226,2
7249,2
7503,2
7638,2
7706,2
7730,2
7792,2
7900,2
7957,2
7969,2
7987,2
7995,2
8055,2
8116,2
8149,2
8264,2
8302,2
8437,2
8479,2
8544,2
8569,2
8590,2
8659,2
8780,2
8863,2
8933,2
8963,2
9207,2
9294,2
9311,2
9336,2
9349,2
9504,2
9707,2
9932,2
9973,2
22,2
129,2
294,2
356,2
645,2
699,2
707,2
844,2
1033,2
1261,2
1496,2
1718,2
1797,2
2089,2
2286,2
2327,2
2358,2
2367,2
2456,2
2778,2
3014,2
3379,2
3529,2
3726,2
3830,2
3890,2
4097,2
4147,2
4183,2
4472,2
4564,2
4752,2
4777,2
4802,2
4817,2
4849,2
4975,2
4980,2
5174,2
5228,2
5382,2
5443,2
5501,2
5521,2
5537,2
5684,2
5718,2
5959,2
6214,2
6376,2
6401,2
6599,2
6684,2
6760,2
6769,2
6971,2
7007,2
7018,2
7091,2
7317,2
7339,2
7420,2
7464,2
7478,2
7511,2
7544,2
7866,2
7923,2
7976,2
8053,2
8156,2
8210,2
8382,2
8392,2
8477,2
8649,2
8767,2
8776,2
9037,2
9101,2
9199,2
9454,2
9488,2
9499,2
9510,2
9517,2
9620,2
9633,2
9635,2
9653,2
9788,2
9934,2
93,2
317,2
516,2
651,2
992,2
1093,2
1182,2
1197,2
1329,2
1599,2
1681,2
1772,2
1791,2
1833,2
1888,2
1974,2
2041,2
2158,2
2177,2
2611,2
2653,2
2714,2
2957,2
3100,2
3108,2
3301,2
3453,2
3804,2
4049,2
4061,2
4079,2
4140,2
4820,2
4827,2
4842,2
4847,2
4850,2
5007,2
5140,2
5285,2
5312,2
5357,2
5383,2
5428,2
5497,2
5527,2
5672,2
5797,2
5826,2
6106,2
6259,2
6304,2
6383,2
6521,2
6650,2
6963,2
7272,2
7295,2
7613,2
7626,2
7647,2
7729,2
7779,2
7951,2
8180,2
8231,2
8317,2
8363,2
8365,2
8446,2
8535,2
8703,2
8748,2
8794,2
8852,2
8959,2
8961,2
8984,2
9174,2
9218,2
9296,2
9372,2
9418,2
9423,2
9572,2
9855,2
9893,2
36,2
112,2
204,2
209,2
214,2
218,2
348,2
519,2
633,2
682,2
694,2
792,2
905,2
954,2
1102,2
1183,2
1366,2
1499,2
1902,2
2051,2
2363,2
2366,2
2378,2
2710,2
2712,2
2910,2
2933,2
3115,2
3150,2
3158,2
3164,2
3203,2
3393,2
3409,2
3591,2
3662,2
3812,2
3919,2
3921,2
3938,2
3943,2
4193,2
4282,2
4332,2
4485,2
4576,2
4698,2
4748,2
4839,2
4843,2
4965,2
4997,2
5044,2
5052,2
5065,2
5133,2
5570,2
5574,2
5630,2
5678,2
5881,2
6182,2
6196,2
6208,2
6232,2
6274,2
6315,2
6737,2
6959,2
6998,2
7023,2
7107,2
7293,2
7328,2
7404,2
7442,2
7469,2
7500,2
7520,2
7562,2
7663,2
7685,2
7917,2
8206,2
8433,2
8499,2
8592,2
8656,2
8826,2
8876,2
8879,2
8944,2
9032,2
9076,2
9143,2
9223,2
9430,2
9598,2
9600,2
9647,2
9679,2
9731,2
9753,2
9782,2
38,2
145,2
374,2
498,2
536,2
656,2
910,2
1158,2
1301,2
1308,2
1747,2
1766,2
1808,2
1865,2
1958,2
2156,2
2243,2
2245,2
2322,2
2344,2
2380,2
2387,2
2581,2
2608,2
2834,2
2841,2
2939,2
3190,2
3353,2
3507,2
3631,2
3672,2
3677,2
3737,2
3800,2
3833,2
3963,2
3991,2
4011,2
4688,2
4713,2
4762,2
4809,2
4900,2
4907,2
4929,2
5098,2
5260,2
5325,2
5619,2
5769,2
5906,2
6056,2
6168,2
6246,2
6249,2
6333,2
6337,2
6354,2
6377,2
6474,2
6571,2
6800,2
6826,2
6836,2
6840,2
6988,2
7013,2
7058,2
7085,2
7162,2
7170,2
7260,2
7423,2
7487,2
7620,2
7628,2
7653,2
7920,2
8133,2
8141,2
8261,2
8336,2
8503,2
8521,2
8553,2
8611,2
8629,2
8859,2
8895,2
8901,2
8947,2
9120,2
9200,2
9248,2
9307,2
9364,2
9409,2
9485,2
9611,2
9648,2
9656,2
9743,2
9807,2
9811,2
9846,2
9908,2
9995,2
9998,2
9,2
10,2
137,2
162,2
191,2
351,2
355,2
559,2
733,2
904,2
927,2
1076,2
1126,2
1156,2
1231,2
1420,2
1428,2
1430,2
1546,2
1692,2
1807,2
1966,2
2085,2
2096,2
2145,2
2293,2
2312,2
2572,2
2643,2
2702,2
2743,2
2793,2
2800,2
2886,2
2976,2
3052,2
3092,2
3163,2
3336,2
3424,2
3534,2
3581,2
3642,2
3786,2
3860,2
3944,2
3957,2
4082,2
4552,2
4598,2
4735,2
4763,2
4770,2
5043,2
5200,2
5201,2
5233,2
5306,2
5440,2
5444,2
5546,2
5554,2
5989,2
6072,2
6110,2
6144,2
6241,2
6267,2
6279,2
6564,2
6708,2
6966,2
6997,2
6999,2
7097,2
7110,2
7124,2
7134,2
7200,2
7448,2
7479,2
7515,2
7546,2
7735,2
7741,2
7780,2
7784,2
7819,2
7822,2
7882,2
7909,2
7915,2
7921,2
8092,2
8164,2
8183,2
8204,2
8257,2
8275,2
8347,2
8383,2
8404,2
8436,2
8481,2
