mutation,segment
31,0
33,0
34,0
43,0
46,0
65,0
118,0
168,0
173,0
189,0
207,0
211,0
213,0
216,0
222,0
223,0
247,0
295,0
304,0
316,0
354,0
365,0
375,0
382,0
406,0
412,0
449,0
451,0
467,0
468,0
492,0
496,0
501,0
537,0
551,0
565,0
571,0
584,0
591,0
620,0
623,0
643,0
665,0
668,0
678,0
697,0
701,0
707,0
727,0
733,0
735,0
736,0
742,0
765,0
770,0
778,0
781,0
817,0
829,0
848,0
858,0
861,0
870,0
871,0
917,0
918,0
935,0
951,0
963,0
983,0
1005,0
1006,0
1036,0
1044,0
1056,0
1057,0
1064,0
1069,0
1074,0
1075,0
1099,0
1101,0
1146,0
1154,0
1157,0
1177,0
1182,0
1190,0
1192,0
1196,0
1207,0
1229,0
1234,0
1235,0
1258,0
1318,0
1329,0
1332,0
1346,0
1347,0
1363,0
1365,0
1371,0
1409,0
1421,0
1432,0
1443,0
1453,0
1468,0
1470,0
1494,0
1498,0
1508,0
1514,0
1531,0
1533,0
1535,0
1539,0
1542,0
1552,0
1553,0
1572,0
1575,0
1586,0
1588,0
1592,0
1646,0
1648,0
1676,0
1713,0
1724,0
1734,0
1746,0
1762,0
1801,0
1823,0
1826,0
1861,0
1873,0
1874,0
1881,0
1882,0
1886,0
1887,0
1891,0
1922,0
1939,0
1950,0
1960,0
1963,0
1988,0
2009,0
2019,0
2022,0
2029,0
2031,0
2047,0
2073,0
2080,0
2101,0
2116,0
2139,0
2141,0
2145,0
2147,0
2148,0
2173,0
2178,0
2185,0
2187,0
2194,0
2196,0
2198,0
2220,0
2256,0
2257,0
2259,0
2270,0
2274,0
2283,0
2315,0
2339,0
2340,0
2344,0
2395,0
2396,0
2406,0
2410,0
2411,0
2413,0
2426,0
2431,0
2432,0
2434,0
2460,0
2464,0
2483,0
2513,0
2517,0
2525,0
2526,0
2531,0
2542,0
2548,0
2567,0
2572,0
2575,0
2581,0
2585,0
2588,0
2596,0
2599,0
2633,0
2653,0
2658,0
2664,0
2671,0
2673,0
2678,0
2691,0
2708,0
2721,0
2732,0
2736,0
2787,0
2792,0
2793,0
2802,0
2811,0
2830,0
2839,0
2844,0
2867,0
2880,0
2890,0
2900,0
2958,0
2964,0
2969,0
2975,0
2980,0
2986,0
2987,0
2997,0
3018,0
3024,0
3027,0
3035,0
3040,0
3072,0
3074,0
3086,0
3104,0
3110,0
3119,0
3123,0
3166,0
3174,0
3191,0
3192,0
3193,0
3198,0
3207,0
3213,0
3233,0
3238,0
3250,0
3264,0
3265,0
3276,0
3277,0
3280,0
3309,0
3328,0
3329,0
3335,0
3357,0
3360,0
3361,0
3368,0
3380,0
3393,0
3408,0
3410,0
3463,0
3466,0
3498,0
3508,0
3509,0
3531,0
3533,0
3537,0
3548,0
3559,0
3565,0
3598,0
3609,0
3614,0
3629,0
3634,0
3637,0
3659,0
3663,0
3704,0
3727,0
3741,0
3744,0
3771,0
3782,0
3785,0
3786,0
3807,0
3808,0
3843,0
3850,0
3856,0
3867,0
3873,0
3875,0
3886,0
3891,0
3893,0
3904,0
3918,0
3920,0
3925,0
3926,0
3954,0
3956,0
3974,0
3981,0
3987,0
3998,0
4006,0
4012,0
4043,0
4060,0
4070,0
4072,0
4079,0
4113,0
4114,0
4122,0
4144,0
4148,0
4153,0
4171,0
4172,0
4178,0
4190,0
4211,0
4217,0
4221,0
4241,0
4247,0
4249,0
4251,0
4263,0
4275,0
4276,0
4316,0
4345,0
4349,0
4362,0
4380,0
4390,0
4422,0
4428,0
4444,0
4478,0
4518,0
4551,0
4574,0
4577,0
4579,0
4583,0
4587,0
4589,0
4607,0
4612,0
4617,0
4651,0
4705,0
4707,0
4718,0
4731,0
4742,0
4747,0
4754,0
4780,0
4794,0
4822,0
4823,0
4860,0
4866,0
4870,0
4873,0
4886,0
4894,0
4926,0
4930,0
4957,0
4967,0
4987,0
4991,0
2,1
8,1
11,1
25,1
42,1
48,1
70,1
89,1
100,1
116,1
124,1
125,1
140,1
156,1
174,1
182,1
196,1
220,1
238,1
239,1
265,1
277,1
279,1
341,1
356,1
383,1
404,1
427,1
444,1
454,1
461,1
485,1
491,1
500,1
505,1
531,1
572,1
577,1
579,1
596,1
598,1
604,1
614,1
615,1
616,1
625,1
635,1
656,1
673,1
682,1
684,1
685,1
710,1
711,1
723,1
739,1
782,1
806,1
807,1
820,1
838,1
926,1
965,1
971,1
999,1
1004,1
1009,1
1012,1
1025,1
1027,1
1039,1
1059,1
1120,1
1148,1
1163,1
1204,1
1273,1
1295,1
1307,1
1325,1
1326,1
1351,1
1353,1
1368,1
1370,1
1398,1
1426,1
1441,1
1464,1
1469,1
1474,1
1478,1
1523,1
1561,1
1569,1
1570,1
1596,1
1599,1
1610,1
1622,1
1624,1
1626,1
1647,1
1651,1
1672,1
1675,1
1688,1
1692,1
1693,1
1727,1
1744,1
1752,1
1763,1
1765,1
1772,1
1780,1
1813,1
1830,1
1841,1
1851,1
1856,1
1867,1
1880,1
1892,1
1898,1
1914,1
1917,1
1926,1
1931,1
1932,1
1941,1
1985,1
1991,1
1994,1
2015,1
2050,1
2056,1
2063,1
2066,1
2070,1
2125,1
2135,1
2163,1
2181,1
2232,1
2250,1
2251,1
2266,1
2286,1
2305,1
2329,1
2332,1
2401,1
2412,1
2415,1
2424,1
2430,1
2433,1
2440,1
2469,1
2475,1
2520,1
2529,1
2559,1
2565,1
2577,1
2612,1
2621,1
2642,1
2651,1
2655,1
2672,1
2674,1
2675,1
2692,1
2694,1
2697,1
2704,1
2735,1
2742,1
2747,1
2757,1
2760,1
2774,1
2786,1
2791,1
2796,1
2833,1
2834,1
2838,1
2846,1
2851,1
2859,1
2863,1
2864,1
2903,1
2911,1
2925,1
2981,1
2992,1
3008,1
3009,1
3014,1
3050,1
3090,1
3092,1
3108,1
3170,1
3178,1
3182,1
3247,1
3249,1
3259,1
3303,1
3308,1
3310,1
3323,1
3354,1
3384,1
3390,1
3396,1
3409,1
3431,1
3456,1
3470,1
3475,1
3488,1
3510,1
3532,1
3544,1
3575,1
3581,1
3608,1
3626,1
3627,1
3670,1
3702,1
3707,1
3723,1
3739,1
3751,1
3755,1
3764,1
3776,1
3787,1
3810,1
3811,1
3817,1
3840,1
3895,1
3936,1
3961,1
3965,1
3990,1
3995,1
4000,1
4001,1
4020,1
4027,1
4029,1
4033,1
4035,1
4040,1
4055,1
4059,1
4067,1
4071,1
4085,1
4091,1
4096,1
4115,1
4120,1
4121,1
4152,1
4182,1
4239,1
4277,1
4298,1
4317,1
4325,1
4343,1
4383,1
4392,1
4398,1
4405,1
4410,1
4411,1
4413,1
4438,1
4453,1
4458,1
4475,1
4477,1
4491,1
4512,1
4528,1
4532,1
4533,1
4535,1
4548,1
4598,1
4609,1
4631,1
4644,1
4647,1
4663,1
4679,1
4680,1
4686,1
4689,1
4693,1
4712,1
4723,1
4726,1
4737,1
4740,1
4745,1
4761,1
4772,1
4779,1
4881,1
4892,1
4899,1
4912,1
4919,1
4971,1
4975,1
4988,1
4998,1
4999,1
7,2
26,2
41,2
45,2
76,2
81,2
145,2
152,2
176,2
195,2
225,2
244,2
281,2
282,2
350,2
369,2
394,2
415,2
456,2
474,2
486,2
493,2
504,2
510,2
550,2
597,2
650,2
675,2
704,2
717,2
731,2
751,2
753,2
804,2
882,2
901,2
915,2
953,2
955,2
987,2
993,2
997,2
1019,2
1029,2
1031,2
1037,2
1046,2
1047,2
1052,2
1058,2
1086,2
1093,2
1094,2
1111,2
1117,2
1149,2
1161,2
1172,2
1231,2
1239,2
1267,2
1275,2
1278,2
1320,2
1323,2
1335,2
1338,2
1360,2
1361,2
1366,2
1375,2
1387,2
1415,2
1416,2
1420,2
1437,2
1444,2
1481,2
1490,2
1529,2
1530,2
1549,2
1583,2
1623,2
1655,2
1661,2
1678,2
1686,2
1743,2
1803,2
1808,2
1825,2
1829,2
1847,2
1853,2
1865,2
1879,2
1885,2
1889,2
1980,2
1981,2
2002,2
2010,2
2021,2
2043,2
2054,2
2097,2
2098,2
2108,2
2117,2
2129,2
2136,2
2138,2
2149,2
2184,2
2226,2
2242,2
2254,2
2271,2
2321,2
2325,2
2357,2
2385,2
2394,2
2439,2
2453,2
2456,2
2466,2
2476,2
2494,2
2496,2
2498,2
2536,2
2584,2
2597,2
2634,2
2645,2
2665,2
2700,2
2706,2
2764,2
2772,2
2781,2
2808,2
2860,2
2905,2
2916,2
2955,2
3079,2
3099,2
3116,2
3144,2
3158,2
3185,2
3194,2
3197,2
3226,2
3240,2
3258,2
3263,2
3268,2
3273,2
3299,2
3301,2
3304,2
3331,2
3337,2
3342,2
3358,2
3381,2
3402,2
3434,2
3461,2
3482,2
3497,2
3561,2
3605,2
3618,2
3650,2
3668,2
3717,2
3733,2
3792,2
3801,2
3846,2
3910,2
3944,2
3950,2
3958,2
3968,2
3996,2
4031,2
4057,2
4058,2
4075,2
4108,2
4140,2
4266,2
4270,2
4271,2
4274,2
4303,2
4322,2
4354,2
4361,2
4424,2
4431,2
4456,2
4481,2
4483,2
4503,2
4537,2
4569,2
4649,2
4658,2
4672,2
4710,2
4728,2
4732,2
4756,2
4758,2
4759,2
4788,2
4827,2
4846,2
4874,2
4897,2
4913,2
4922,2
4940,2
4958,2
4974,2
4984,2
14,3
28,3
63,3
71,3
131,3
155,3
190,3
201,3
235,3
325,3
362,3
373,3
376,3
393,3
396,3
397,3
405,3
417,3
419,3
452,3
508,3
509,3
512,3
516,3
529,3
533,3
541,3
547,3
588,3
595,3
599,3
607,3
608,3
646,3
659,3
667,3
688,3
694,3
695,3
726,3
755,3
756,3
766,3
793,3
795,3
815,3
821,3
853,3
878,3
889,3
899,3
900,3
905,3
925,3
940,3
949,3
964,3
968,3
977,3
979,3
1020,3
1030,3
1077,3
1085,3
1123,3
1131,3
1151,3
1180,3
1189,3
1206,3
1244,3
1251,3
1266,3
1300,3
1303,3
1305,3
1308,3
1317,3
1333,3
1345,3
1423,3
1452,3
1463,3
1473,3
1484,3
1487,3
1509,3
1574,3
1584,3
1591,3
1609,3
1617,3
1618,3
1619,3
1662,3
1664,3
1673,3
1717,3
1757,3
1828,3
1871,3
1915,3
1921,3
1928,3
1929,3
1965,3
1975,3
1984,3
2018,3
2060,3
2072,3
2084,3
2096,3
2124,3
2158,3
2176,3
2183,3
2193,3
2219,3
2228,3
2234,3
2245,3
2249,3
2260,3
2263,3
2273,3
2278,3
2306,3
2371,3
2374,3
2420,3
2427,3
2438,3
2458,3
2462,3
2490,3
2495,3
2500,3
2510,3
2533,3
2537,3
2540,3
2549,3
2617,3
2630,3
2632,3
2663,3
2668,3
2687,3
2696,3
2709,3
2724,3
2790,3
2816,3
2818,3
2828,3
2847,3
2885,3
2908,3
2913,3
2942,3
2957,3
3001,3
3002,3
3046,3
3096,3
3107,3
3133,3
3157,3
3169,3
3181,3
3203,3
3253,3
3332,3
3343,3
3364,3
3371,3
3372,3
3386,3
3397,3
3406,3
3428,3
3433,3
3467,3
3472,3
3474,3
3480,3
3489,3
3491,3
3526,3
3553,3
3554,3
3560,3
3564,3
3603,3
3611,3
3708,3
3720,3
3725,3
3788,3
3821,3
3827,3
3831,3
3832,3
3844,3
3849,3
3855,3
3876,3
3881,3
3897,3
3907,3
3922,3
3928,3
3933,3
3935,3
3997,3
4038,3
4041,3
4046,3
4086,3
4102,3
4110,3
4117,3
4145,3
4157,3
4163,3
4167,3
4200,3
4206,3
4224,3
4236,3
4240,3
4256,3
4260,3
4261,3
4267,3
4285,3
4290,3
4309,3
4315,3
4330,3
4347,3
4353,3
4382,3
4415,3
4418,3
4419,3
4445,3
4452,3
4470,3
4472,3
4474,3
4487,3
4494,3
4519,3
4539,3
4553,3
4556,3
4567,3
4570,3
